Starting HTML Check for: site_build/elements.html
site_build/elements.html: line 400, col NaN, Tabs not allowed
site_build/elements.html: line 401, col NaN, Tabs not allowed
site_build/elements.html: line 402, col NaN, Tabs not allowed
site_build/elements.html: line 403, col NaN, Tabs not allowed
site_build/elements.html: line 404, col NaN, Tabs not allowed
site_build/elements.html: line 406, col NaN, Tabs not allowed
site_build/elements.html: line 408, col NaN, Tabs not allowed
site_build/elements.html: line 409, col NaN, Tabs not allowed
site_build/elements.html: line 410, col NaN, Tabs not allowed
site_build/elements.html: line 411, col NaN, Tabs not allowed
site_build/elements.html: line 412, col NaN, Tabs not allowed
site_build/elements.html: line 413, col NaN, Tabs not allowed
site_build/elements.html: line 414, col NaN, Tabs not allowed
site_build/elements.html: line 416, col NaN, Tabs not allowed
site_build/elements.html: line 417, col 7, line ending does not match format: lf
site_build/elements.html: line 7, col 1, html element should specify the language of the page
site_build/elements.html: line 58, col 22, the b tag is banned
site_build/elements.html: line 58, col 79, the i tag is banned
site_build/elements.html: line 342, col 57, the `alt` property must be set for image tags
site_build/elements.html: line 343, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 344, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 345, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 346, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 347, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 348, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 349, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 350, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 351, col 56, the `alt` property must be set for image tags
site_build/elements.html: line 355, col 39, the `alt` property must be set for image tags
site_build/elements.html: line 356, col 40, the `alt` property must be set for image tags

[htmllint] found 408 errors out of 1 files
❌ Syntax Error detected by HtmlLint
